time,Total Usage,Microwave,Washing Machine,Oven Unit,Stove Unit,1st Floor AHU,Refrigerator,Dishwasher,PV Solar Generation (1),PV Solar Generation (2)
1381370429.00000, 3646.90000,    1.80000,   24.20000,    5.40000,    0.90000,  378.00000,  352.90000,    2.20000,    0.10000,    0.10000
1381370430.00000, 3654.40000,    1.80000,   26.30000,    5.30000,    0.80000,  378.60000,  354.20000,    2.40000,    0.10000,    0.10000
1381370431.00000, 3645.80000,    1.80000,   27.50000,    5.30000,    0.80000,  377.80000,  354.20000,    2.30000,    0.10000,    0.10000
1381370432.00000, 3643.10000,    1.80000,   27.10000,    5.30000,    0.90000,  379.20000,  351.90000,    2.40000,    0.20000,    0.10000
1381370433.00000, 3630.50000,    1.80000,   18.20000,    5.40000,    0.80000,  378.80000,  356.10000,    2.30000,    0.10000,    0.10000
1381370434.00000, 3616.00000,    1.80000,    9.30000,    5.20000,    0.80000,  379.20000,  354.40000,    2.30000,    0.10000,    0.10000
1381370435.00000, 3624.40000,    1.80000,   27.80000,    5.30000,    0.80000,  378.50000,  352.10000,    2.40000,    0.10000,    0.10000
1381370436.00000, 3726.60000,    1.90000,  126.10000,    5.30000,    1.00000,  378.30000,  356.30000,    2.40000,    0.10000,    0.10000
1381370437.00000, 3689.90000,    1.80000,   90.20000,    5.40000,    0.80000,  378.80000,  356.10000,    2.30000,    0.10000,    0.10000
1381370438.00000, 3693.10000,    1.80000,   98.10000,    5.30000,    0.80000,  377.70000,  351.70000,    2.40000,    0.10000,    0.10000
1381370439.00000, 3696.40000,    1.80000,   98.40000,    5.40000,    0.80000,  376.90000,  353.80000,    2.30000,    0.20000,    0.10000
1381370440.00000, 3686.40000,    1.80000,   87.90000,    5.30000,    0.80000,  377.70000,  352.20000,    2.30000,    0.20000,    0.10000
1381370441.00000, 3680.80000,    1.80000,   80.50000,    5.30000,    0.90000,  377.10000,  351.90000,    2.30000,    0.20000,    0.10000
1381370442.00000, 3679.90000,    1.90000,   71.70000,    5.30000,    0.80000,  378.70000,  355.00000,    2.40000,    0.10000,    0.10000
1381370443.00000, 3678.70000,    1.80000,   69.20000,    5.30000,    0.80000,  379.80000,  354.80000,    2.30000,    0.10000,    0.10000
1381370444.00000, 3697.80000,    1.70000,   81.20000,    5.20000,    0.90000,  378.70000,  360.70000,    2.40000,    0.10000,    0.10000
1381370445.00000, 3683.30000,    1.90000,   81.10000,    5.30000,    0.80000,  378.60000,  352.60000,    2.30000,    0.20000,    0.10000
1381370446.00000, 3668.70000,    1.80000,   58.30000,    5.20000,    0.90000,  378.40000,  358.40000,    2.20000,    0.20000,    0.10000
1381370447.00000, 3665.40000,    1.80000,   61.90000,    5.30000,    0.70000,  378.60000,  355.50000,    2.30000,    0.10000,    0.10000
1381370448.00000, 3668.40000,    1.80000,   62.40000,    5.30000,    0.80000,  377.90000,  356.20000,    2.30000,    0.10000,    0.10000
1381370449.00000, 3672.80000,    1.80000,   62.30000,    5.30000,    0.70000,  378.60000,  350.70000,    2.40000,    0.10000,    0.10000
1381370450.00000, 3685.00000,    1.80000,   63.70000,    5.30000,    0.90000,  378.10000,  354.50000,    2.30000,    0.10000,    0.10000
1381370451.00000, 3651.20000,    1.80000,   47.20000,    5.30000,    0.80000,  378.10000,  353.40000,    2.30000,    0.10000,    0.10000
1381370452.00000, 3650.60000,    1.80000,   45.70000,    5.30000,    0.80000,  378.60000,  353.20000,    2.30000,    0.10000,    0.10000
1381370453.00000, 3648.40000,    1.80000,   45.80000,    5.30000,    0.80000,  378.50000,  354.20000,    2.30000,    0.10000,    0.10000
1381370454.00000, 3677.00000,    1.80000,   66.00000,    5.30000,    0.80000,  379.10000,  356.00000,    2.30000,    0.10000,    0.10000
1381370455.00000, 3722.80000,    1.80000,  114.00000,    5.30000,    0.90000,  378.50000,  357.20000,    2.20000,    0.20000,    0.10000
1381370456.00000, 3714.80000,    1.80000,   95.00000,    5.30000,    0.80000,  377.80000,  355.80000,    2.30000,    0.10000,    0.10000
1381370457.00000, 3757.30000,    1.90000,   99.00000,    5.30000,    0.80000,  378.30000,  358.10000,    2.30000,    0.10000,    0.10000
1381370458.00000, 3731.40000,    1.80000,   80.20000,    5.30000,    0.90000,  379.20000,  352.60000,    2.40000,    0.10000,    0.10000
1381370459.00000, 3724.20000,    2.00000,   80.60000,    5.40000,    0.90000,  379.20000,  355.00000,    2.40000,    0.20000,    0.10000
1381370460.00000, 3722.50000,    2.00000,   79.30000,    5.30000,    0.80000,  378.40000,  361.70000,    2.30000,    0.10000,    0.10000
1381370461.00000, 3733.50000,    1.90000,   88.30000,    5.30000,    0.80000,  377.90000,  356.80000,    2.30000,    0.10000,    0.10000
1381370462.00000, 3673.10000,    1.80000,   31.20000,    5.30000,    0.90000,  378.70000,  351.90000,    2.40000,    0.10000,    0.10000
1381370463.00000, 3652.10000,    1.90000,    9.30000,    5.40000,    0.90000,  379.30000,  358.20000,    2.30000,    0.20000,    0.10000
1381370464.00000, 3644.80000,    1.80000,    9.30000,    5.30000,    0.70000,  378.90000,  355.60000,    2.20000,    0.10000,    0.10000
