time	Total Usage
1.38E+09	3646.9
1.38E+09	3654.4
1.38E+09	3645.8
1.38E+09	3643.1
1.38E+09	3630.5
1.38E+09	3616
1.38E+09	3624.4
1.38E+09	3726.6
1.38E+09	3689.9
1.38E+09	3693.1
1.38E+09	3696.4
1.38E+09	3686.4
1.38E+09	3680.8
1.38E+09	3679.9
1.38E+09	3678.7
1.38E+09	3697.8
1.38E+09	3683.3
1.38E+09	3668.7
1.38E+09	3665.4
1.38E+09	3668.4
1.38E+09	3672.8
1.38E+09	3685
1.38E+09	3651.2
1.38E+09	3650.6
1.38E+09	3648.4
1.38E+09	3677
1.38E+09	3722.8
1.38E+09	3714.8
1.38E+09	3757.3
1.38E+09	3731.4
1.38E+09	3724.2
1.38E+09	3722.5
1.38E+09	3733.5
1.38E+09	3673.1
1.38E+09	3652.1
1.38E+09	3644.8
1.38E+09	3674.7
1.38E+09	3710.9
1.38E+09	3706.8
1.38E+09	3713.5
1.38E+09	3707.3
1.38E+09	3683.9
1.38E+09	3687.2
1.38E+09	3678.2
1.38E+09	3690.6
1.38E+09	3726.4
1.38E+09	3669.7
1.38E+09	3687
1.38E+09	3692.8
1.38E+09	3679.1
1.38E+09	3678
1.38E+09	3740.7
1.38E+09	3732.3
1.38E+09	3733.2
1.38E+09	3747.8
1.38E+09	3798.9
1.38E+09	3868.5
1.38E+09	3860.4
1.38E+09	3790.3
1.38E+09	3775.5
1.38E+09	3760.9
1.38E+09	3765.3
1.38E+09	3755.7
1.38E+09	3771
1.38E+09	3743.7
1.38E+09	3755.8
1.38E+09	3744.5
1.38E+09	3743.2
1.38E+09	3746.4
1.38E+09	3738.3
1.38E+09	3738
1.38E+09	3744.7
1.38E+09	3741.5
1.38E+09	3742.9
1.38E+09	3739.7
1.38E+09	3761.3
1.38E+09	3770.3
1.38E+09	3772.7
1.38E+09	3764.6
1.38E+09	3777.6
1.38E+09	3765.7
1.38E+09	3735.8
1.38E+09	3741
1.38E+09	3751.8
1.38E+09	3758.7
1.38E+09	3746.7
1.38E+09	3750.4
1.38E+09	3755.1
1.38E+09	3749.8
1.38E+09	5740
1.38E+09	11765
1.38E+09	3756.6
1.38E+09	3750.1
1.38E+09	3764.5
1.38E+09	3747
1.38E+09	3761.5
1.38E+09	3756.9
1.38E+09	3754.9
1.38E+09	3754.8
1.38E+09	3754.6
1.38E+09	3760.9
1.38E+09	3872.7
1.38E+09	3939.3
1.38E+09	4028.8
1.38E+09	4043.2
1.38E+09	4011
1.38E+09	3983.9
1.38E+09	3934.9
1.38E+09	3901.4
1.38E+09	3860.2
1.38E+09	3847.7
1.38E+09	3837.5
1.38E+09	3818.5
1.38E+09	3823.2
1.38E+09	3814.6
1.38E+09	3821.4
1.38E+09	3814.9
1.38E+09	3796.7
1.38E+09	3790.3
1.38E+09	3780.2
1.38E+09	3772.9
1.38E+09	3781
1.38E+09	3781.1
1.38E+09	3771.4
1.38E+09	3777.1
1.38E+09	3756.4
1.38E+09	3731.8
1.38E+09	3719.2
1.38E+09	3720.1
1.38E+09	3710.7
1.38E+09	3712.4
1.38E+09	3690.9
1.38E+09	3688.9
1.38E+09	3719.4
1.38E+09	3728.9
1.38E+09	3730.8
1.38E+09	3724
1.38E+09	3732.8
1.38E+09	3729.9
1.38E+09	3729.9
1.38E+09	3743.6
1.38E+09	3730.8
1.38E+09	3728.5
1.38E+09	3730.1
1.38E+09	3731.9
1.38E+09	3743
1.38E+09	3852.6
1.38E+09	3935.9
1.38E+09	3912.4
1.38E+09	3881.3
1.38E+09	3899.8
1.38E+09	3876.8
1.38E+09	3860.5
1.38E+09	3844.4
1.38E+09	3818.6
1.38E+09	3814.4
1.38E+09	3804.3
1.38E+09	3815.8
1.38E+09	3804.5
1.38E+09	3796.6
1.38E+09	3792.4
1.38E+09	3793.3
1.38E+09	3792.6
1.38E+09	3792.1
1.38E+09	3784.9
1.38E+09	3792.3
1.38E+09	3791.4
1.38E+09	3802.8
1.38E+09	3796.7
1.38E+09	3784
1.38E+09	3783.9
1.38E+09	3796.7
1.38E+09	3810.4
1.38E+09	3812
1.38E+09	3821.2
1.38E+09	3821.3
1.38E+09	3819.1
1.38E+09	3852.6
1.38E+09	3902.6
1.38E+09	3909.7
1.38E+09	3910.8
1.38E+09	3908.3
1.38E+09	3908.5
1.38E+09	3870.7
1.38E+09	3867.6
1.38E+09	3855.8
1.38E+09	3865.6
1.38E+09	3869.7
1.38E+09	3871.4
1.38E+09	3868.2
1.38E+09	3867.1
1.38E+09	3872.4
1.38E+09	3871.6
1.38E+09	3868.5
1.38E+09	3858.8
1.38E+09	3860.8
1.38E+09	3856.6
1.38E+09	3859.4
1.38E+09	3853.8
1.38E+09	3856.1
1.38E+09	3846.6
1.38E+09	3845
1.38E+09	3839.2
1.38E+09	3841.7
1.38E+09	3844.6
1.38E+09	3842.8
1.38E+09	3846.2
1.38E+09	3836.1
1.38E+09	3825.8
1.38E+09	3839.4
1.38E+09	3834.7
1.38E+09	3830.1
1.38E+09	3827.9
1.38E+09	3834.5
1.38E+09	13827
1.38E+09	3831.7
1.38E+09	3829.8
1.38E+09	3829.9
1.38E+09	3830.7
1.38E+09	3833.1
1.38E+09	3824.6
1.38E+09	3824.2
1.38E+09	3832
1.38E+09	3834.1
1.38E+09	3822.6
1.38E+09	3825
1.38E+09	3825
1.38E+09	3834.4
1.38E+09	3833.7
1.38E+09	3836.2
1.38E+09	3844.6
1.38E+09	3840.8
1.38E+09	3853.4
1.38E+09	3856
1.38E+09	3867.6
1.38E+09	3908
1.38E+09	4016.4
1.38E+09	4076.2
1.38E+09	4128.3
1.38E+09	4205.7
1.38E+09	4269.9
1.38E+09	4313
1.38E+09	4340.7
1.38E+09	4359.6
1.38E+09	4350.4
1.38E+09	4356.3
1.38E+09	4349.6
1.38E+09	4351.5
1.38E+09	4353.8
1.38E+09	4346.5
1.38E+09	4079.1
1.38E+09	3955.5
1.38E+09	3941.7
1.38E+09	3936.4
1.38E+09	3949.9
1.38E+09	3960.5
1.38E+09	3960.9
1.38E+09	3965.7
1.38E+09	3973.2
1.38E+09	3973.8
1.38E+09	3705.4
1.38E+09	3668.9
1.38E+09	3654.5
1.38E+09	3652.3
1.38E+09	3656.3
1.38E+09	3653
1.38E+09	3655.2
1.38E+09	3658.7
1.38E+09	3657.9
1.38E+09	3661.7
1.38E+09	3655.1
1.38E+09	3661.9
1.38E+09	3673.2
1.38E+09	3680.1
1.38E+09	3676
1.38E+09	3662.4
1.38E+09	3659.3
1.38E+09	3659.2
1.38E+09	3659.8
1.38E+09	3659.1
1.38E+09	5066.6
1.38E+09	4499
1.38E+09	4499.7
1.38E+09	4498.7
1.38E+09	4498.6
1.38E+09	4494.9
1.38E+09	4495.7
1.38E+09	4495.7
1.38E+09	4496.6
1.38E+09	4495.7
1.38E+09	4496.2
1.38E+09	4491.8
1.38E+09	4494.5
1.38E+09	4504.5
1.38E+09	4492.5
1.38E+09	4498.9
1.38E+09	4492
1.38E+09	4495.8
1.38E+09	4497.5
1.38E+09	4541.5
1.38E+09	4516
1.38E+09	4508.4
1.38E+09	4493
1.38E+09	4496.9
1.38E+09	4492.5
1.38E+09	4491.7
1.38E+09	4492.9
1.38E+09	4493.2
1.38E+09	4498.9
1.38E+09	4518.5
1.38E+09	4562
1.38E+09	4528.2
1.38E+09	4516.6
1.38E+09	4506.4
1.38E+09	4503.5
1.38E+09	4498.2
1.38E+09	4492.5
1.38E+09	4499.8
1.38E+09	4492.8
1.38E+09	4501.5
1.38E+09	4524.5
1.38E+09	4530.2
1.38E+09	4522.4
1.38E+09	4502.1
1.38E+09	4483.1
1.38E+09	4493.5
1.38E+09	4485.4
1.38E+09	4496.4
1.38E+09	4496.2
1.38E+09	4488.5
1.38E+09	4492.6
1.38E+09	4567.5
