time	Total Usage	Microwave	Washing Machine
1381370429	3646.9	1.8	24.2
1381370430	3654.4	1.8	26.3
1381370431	3645.8	1.8	27.5
1381370432	3643.1	1.8	27.1
1381370433	3630.5	1.8	18.2
1381370434	3616	1.8	9.3
1381370435	3624.4	1.8	27.8
1381370436	3726.6	1.9	126.1
1381370437	3689.9	1.8	90.2
1381370438	3693.1	1.8	98.1
1381370439	3696.4	1.8	98.4
1381370440	3686.4	1.8	87.9
1381370441	3680.8	1.8	80.5
1381370442	3679.9	1.9	71.7
1381370443	3678.7	1.8	69.2
1381370444	3697.8	1.7	81.2
1381370445	3683.3	1.9	81.1
1381370446	3668.7	1.8	58.3
1381370447	3665.4	1.8	61.9
1381370448	3668.4	1.8	62.4
1381370449	3672.8	1.8	62.3
1381370450	3685	1.8	63.7
1381370451	3651.2	1.8	47.2
1381370452	3650.6	1.8	45.7
1381370453	3648.4	1.8	45.8
1381370454	3677	1.8	66
1381370455	3722.8	1.8	114
1381370456	3714.8	1.8	95
1381370457	3757.3	1.9	99
1381370458	3731.4	1.8	80.2
1381370459	3724.2	2	80.6
1381370460	3722.5	2	79.3
1381370461	3733.5	1.9	88.3
1381370462	3673.1	1.8	31.2
1381370463	3652.1	1.9	9.3
1381370464	3644.8	1.8	9.3
1381370465	3674.7	1.9	28.4
1381370466	3710.9	1.8	73.1
1381370467	3706.8	1.9	48.1
1381370468	3713.5	1.8	53
1381370469	3707.3	1.8	62
1381370470	3683.9	1.8	35.9
1381370471	3687.2	1.8	32.1
1381370472	3678.2	1.9	34.7
1381370473	3690.6	1.8	36.6
1381370474	3726.4	1.8	55.3
1381370475	3669.7	1.7	20.7
1381370476	3687	1.8	23.8
1381370477	3692.8	1.9	25.6
1381370478	3679.1	1.9	26.2
1381370479	3678	1.8	25.9
1381370480	3740.7	1.8	72.6
1381370481	3732.3	1.8	80.6
1381370482	3733.2	1.9	84.2
1381370483	3747.8	1.8	86.8
1381370484	3798.9	1.8	90.6
1381370485	3868.5	1.9	97.1
1381370486	3860.4	1.8	111.6
1381370487	3790.3	1.9	90.4
1381370488	3775.5	1.7	74.7
1381370489	3760.9	1.8	69.9
1381370490	3765.3	1.9	71.6
1381370491	3755.7	1.8	82
1381370492	3771	1.8	84.8
1381370493	3743.7	1.8	82.4
1381370494	3755.8	1.8	81.5
1381370495	3744.5	1.9	76.3
1381370496	3743.2	1.8	75.7
1381370497	3746.4	2	76
1381370498	3738.3	1.8	75.9
1381370499	3738	1.9	77.2
1381370500	3744.7	1.8	77.4
1381370501	3741.5	1.9	77
1381370502	3742.9	2	76.6
1381370503	3739.7	1.9	75.9
1381370504	3761.3	1.9	76.4
1381370505	3770.3	1.9	76.6
1381370506	3772.7	1.9	76.6
1381370507	3764.6	1.9	75.9
1381370508	3777.6	1.9	75.4
1381370509	3765.7	1.9	74.9
1381370510	3735.8	1.9	55.1
1381370511	3741	2	53.7
1381370512	3751.8	1.8	57.5
1381370513	3758.7	1.9	60.4
1381370514	3746.7	1.9	62.1
1381370515	3750.4	1.9	62.8
1381370516	3755.1	1.9	62.5
1381370517	3749.8	1.9	62.1
1381370518	5740	0.9	61.3
1381370519	11764.6	2.4	59.2
1381370520	3756.6	1.8	62.3
1381370521	3750.1	1.9	62.4
1381370522	3764.5	2	62.8
1381370523	3747	1.9	62
1381370524	3761.5	1.9	61.9
1381370525	3756.9	1.9	62.6
1381370526	3754.9	2	62.3
1381370527	3754.8	2	61.9
1381370528	3754.6	1.9	62.2
1381370529	3760.9	2	77.8
1381370530	3872.7	1.7	183.4
1381370531	3939.3	1.7	272.2
1381370532	4028.8	1.6	362.4
1381370533	4043.2	1.7	377.6
1381370534	4011	1.7	340.1
1381370535	3983.9	1.7	305.5
1381370536	3934.9	1.8	263.7
1381370537	3901.4	1.7	229.5
1381370538	3860.2	1.8	201.6
1381370539	3847.7	1.8	185.2
1381370540	3837.5	1.8	162.9
1381370541	3818.5	1.8	152.5
1381370542	3823.2	1.8	146.9
1381370543	3814.6	1.8	140.5
1381370544	3821.4	1.8	135.7
1381370545	3814.9	1.8	130.1
1381370546	3796.7	1.8	123.5
1381370547	3790.3	1.9	124.3
1381370548	3780.2	1.9	117.4
1381370549	3772.9	1.9	115.6
1381370550	3781	1.9	107.6
1381370551	3781.1	1.9	106.2
1381370552	3771.4	1.9	100.6
1381370553	3777.1	1.8	96.9
1381370554	3756.4	1.8	69.1
1381370555	3731.8	1.9	47.3
1381370556	3719.2	1.9	47.2
1381370557	3720.1	1.9	47.1
1381370558	3710.7	1.9	47
1381370559	3712.4	1.9	43.3
1381370560	3690.9	1.8	20.9
1381370561	3688.9	1.9	24.4
1381370562	3719.4	1.8	53.8
1381370563	3728.9	1.8	66.4
1381370564	3730.8	1.8	64.3
1381370565	3724	1.9	64.1
1381370566	3732.8	1.9	64.5
1381370567	3729.9	1.7	64.3
1381370568	3729.9	1.9	64.9
1381370569	3743.6	1.9	64.4
1381370570	3730.8	2	64.3
1381370571	3728.5	1.8	64.8
1381370572	3730.1	1.9	65.1
1381370573	3731.9	1.9	65.2
1381370574	3743	2	72.6
1381370575	3852.6	1.7	180.7
1381370576	3935.9	1.7	265.8
1381370577	3912.4	1.8	253.7
1381370578	3881.3	1.8	211.3
1381370579	3899.8	1.9	236.7
1381370580	3876.8	1.8	209.6
1381370581	3860.5	1.8	189.8
1381370582	3844.4	1.7	173
1381370583	3818.6	1.8	160.3
1381370584	3814.4	1.7	150.2
1381370585	3804.3	1.9	141.1
1381370586	3815.8	1.8	139.9
1381370587	3804.5	1.8	133.2
1381370588	3796.6	1.8	127.4
1381370589	3792.4	1.8	124.2
1381370590	3793.3	1.9	124.2
1381370591	3792.6	1.9	120.6
1381370592	3792.1	1.8	119.1
1381370593	3784.9	1.8	120.9
1381370594	3792.3	1.8	121.5
1381370595	3791.4	1.8	119.1
1381370596	3802.8	1.8	121.6
1381370597	3796.7	1.8	122.2
1381370598	3784	1.9	120.4
1381370599	3783.9	1.9	123.2
1381370600	3796.7	1.8	134.1
1381370601	3810.4	1.8	140.5
1381370602	3812	1.8	152.8
1381370603	3821.2	1.9	160.9
1381370604	3821.3	1.8	169
1381370605	3819.1	1.8	174.1
1381370606	3852.6	1.8	179.7
1381370607	3902.6	1.9	188.8
1381370608	3909.7	1.9	187
1381370609	3910.8	1.8	188.5
1381370610	3908.3	1.8	187.7
1381370611	3908.5	1.8	196.2
1381370612	3870.7	1.8	197.4
1381370613	3867.6	1.7	208.7
1381370614	3855.8	1.9	206.1
1381370615	3865.6	1.9	212.3
1381370616	3869.7	1.8	217.4
1381370617	3871.4	1.8	212.9
1381370618	3868.2	1.9	212
1381370619	3867.1	1.8	212.8
1381370620	3872.4	1.7	222.2
1381370621	3871.6	1.7	221.1
1381370622	3868.5	1.9	214.4
1381370623	3858.8	1.7	212.4
1381370624	3860.8	1.8	207
1381370625	3856.6	1.8	204.6
1381370626	3859.4	1.9	207.5
1381370627	3853.8	1.9	203.8
1381370628	3856.1	1.8	204.2
1381370629	3846.6	1.8	197.5
1381370630	3845	1.9	194.2
1381370631	3839.2	1.9	193.1
1381370632	3841.7	1.9	190.3
1381370633	3844.6	1.7	192.3
1381370634	3842.8	1.9	191.8
1381370635	3846.2	1.8	186.8
1381370636	3836.1	1.8	184.2
1381370637	3825.8	1.9	178.2
1381370638	3839.4	1.7	181.1
1381370639	3834.7	1.8	183.4
1381370640	3830.1	1.9	178.3
1381370641	3827.9	1.8	177.3
1381370642	3834.5	1.8	179
1381370643	13827.3	3.5	174.7
1381370644	3831.7	1.8	175.7
1381370645	3829.8	1.8	174.3
