time,Total Usage,Microwave,Washing Machine,Oven Unit,Stove Unit,1st Floor AHU,Refrigerator,Dishwasher,PV Solar Generation (1),PV Solar Generation (2)
1.38E+09,3646.9,1.8,24.2,5.4,0.9,378,352.9,2.2,0.1,0.1
1.38E+09,3654.4,1.8,26.3,5.3,0.8,378.6,354.2,2.4,0.1,0.1
1.38E+09,3645.8,1.8,27.5,5.3,0.8,377.8,354.2,2.3,0.1,0.1
1.38E+09,3643.1,1.8,27.1,5.3,0.9,379.2,351.9,2.4,0.2,0.1
1.38E+09,3630.5,1.8,18.2,5.4,0.8,378.8,356.1,2.3,0.1,0.1
1.38E+09,3616,1.8,9.3,5.2,0.8,379.2,354.4,2.3,0.1,0.1
1.38E+09,3624.4,1.8,27.8,5.3,0.8,378.5,352.1,2.4,0.1,0.1
1.38E+09,3726.6,1.9,126.1,5.3,1,378.3,356.3,2.4,0.1,0.1
1.38E+09,3689.9,1.8,90.2,5.4,0.8,378.8,356.1,2.3,0.1,0.1
1.38E+09,3693.1,1.8,98.1,5.3,0.8,377.7,351.7,2.4,0.1,0.1
1.38E+09,3696.4,1.8,98.4,5.4,0.8,376.9,353.8,2.3,0.2,0.1
1.38E+09,3686.4,1.8,87.9,5.3,0.8,377.7,352.2,2.3,0.2,0.1
1.38E+09,3680.8,1.8,80.5,5.3,0.9,377.1,351.9,2.3,0.2,0.1
1.38E+09,3679.9,1.9,71.7,5.3,0.8,378.7,355,2.4,0.1,0.1
1.38E+09,3678.7,1.8,69.2,5.3,0.8,379.8,354.8,2.3,0.1,0.1
1.38E+09,3697.8,1.7,81.2,5.2,0.9,378.7,360.7,2.4,0.1,0.1
1.38E+09,3683.3,1.9,81.1,5.3,0.8,378.6,352.6,2.3,0.2,0.1
1.38E+09,3668.7,1.8,58.3,5.2,0.9,378.4,358.4,2.2,0.2,0.1
1.38E+09,3665.4,1.8,61.9,5.3,0.7,378.6,355.5,2.3,0.1,0.1
1.38E+09,3668.4,1.8,62.4,5.3,0.8,377.9,356.2,2.3,0.1,0.1
1.38E+09,3672.8,1.8,62.3,5.3,0.7,378.6,350.7,2.4,0.1,0.1
1.38E+09,3685,1.8,63.7,5.3,0.9,378.1,354.5,2.3,0.1,0.1
1.38E+09,3651.2,1.8,47.2,5.3,0.8,378.1,353.4,2.3,0.1,0.1
1.38E+09,3650.6,1.8,45.7,5.3,0.8,378.6,353.2,2.3,0.1,0.1
1.38E+09,3648.4,1.8,45.8,5.3,0.8,378.5,354.2,2.3,0.1,0.1
1.38E+09,3677,1.8,66,5.3,0.8,379.1,356,2.3,0.1,0.1
1.38E+09,3722.8,1.8,114,5.3,0.9,378.5,357.2,2.2,0.2,0.1
1.38E+09,3714.8,1.8,95,5.3,0.8,377.8,355.8,2.3,0.1,0.1
1.38E+09,3757.3,1.9,99,5.3,0.8,378.3,358.1,2.3,0.1,0.1
1.38E+09,3731.4,1.8,80.2,5.3,0.9,379.2,352.6,2.4,0.1,0.1
1.38E+09,3724.2,2,80.6,5.4,0.9,379.2,355,2.4,0.2,0.1
1.38E+09,3722.5,2,79.3,5.3,0.8,378.4,361.7,2.3,0.1,0.1
1.38E+09,3733.5,1.9,88.3,5.3,0.8,377.9,356.8,2.3,0.1,0.1
1.38E+09,3673.1,1.8,31.2,5.3,0.9,378.7,351.9,2.4,0.1,0.1
1.38E+09,3652.1,1.9,9.3,5.4,0.9,379.3,358.2,2.3,0.2,0.1
1.38E+09,3644.8,1.8,9.3,5.3,0.7,378.9,355.6,2.2,0.1,0.1
1.38E+09,3674.7,1.9,28.4,5.4,0.9,378.4,359.7,2.4,0.1,0.1
1.38E+09,3710.9,1.8,73.1,5.3,0.8,378.3,355.9,2.3,0.1,0.1
1.38E+09,3706.8,1.9,48.1,5.4,0.8,378.5,356.7,2.3,0.1,0.1
1.38E+09,3713.5,1.8,53,5.3,0.9,377.3,353.9,2.4,0.1,0.1
1.38E+09,3707.3,1.8,62,5.3,0.9,378.1,354.6,2.3,0.1,0.1
1.38E+09,3683.9,1.8,35.9,5.4,0.8,378.4,352.9,2.3,0.2,0.1
1.38E+09,3687.2,1.8,32.1,5.4,0.9,378.4,348.8,2.3,0.1,0.1
1.38E+09,3678.2,1.9,34.7,5.4,0.9,378.1,355.4,2.4,0.1,0.1
1.38E+09,3690.6,1.8,36.6,5.4,0.8,378.3,353.8,2.3,0.1,0.1
1.38E+09,3726.4,1.8,55.3,5.4,0.7,380.9,355.8,2.3,0.2,0.1
1.38E+09,3669.7,1.7,20.7,5.3,0.9,379.4,354.5,2.3,0.2,0.1
1.38E+09,3687,1.8,23.8,5.3,0.9,379.1,354.6,2.4,0.1,0.1
1.38E+09,3692.8,1.9,25.6,5.2,0.8,379.2,357.6,2.3,0.1,0.1
1.38E+09,3679.1,1.9,26.2,5.3,0.9,378.7,357.1,2.3,0.1,0.1
1.38E+09,3678,1.8,25.9,5.3,0.8,378.4,358,2.4,0.1,0.1
1.38E+09,3740.7,1.8,72.6,5.3,0.9,378,357.8,2.4,0.1,0.1
1.38E+09,3732.3,1.8,80.6,5.4,1,378.6,359,2.3,0.2,0.1
1.38E+09,3733.2,1.9,84.2,5.3,0.8,378.1,358.5,2.3,0.1,0.1
1.38E+09,3747.8,1.8,86.8,5.2,0.9,377.7,364.1,2.3,0.1,0.1
1.38E+09,3798.9,1.8,90.6,5.3,0.9,378.5,398.2,2.4,0.2,0.1
1.38E+09,3868.5,1.9,97.1,5.3,0.8,377.6,465.4,2.4,0.1,0.1
1.38E+09,3860.4,1.8,111.6,5.4,0.9,377.6,423,2.3,0.1,0.1
1.38E+09,3790.3,1.9,90.4,5.3,0.8,378.8,365.1,2.3,0.1,0.1
1.38E+09,3775.5,1.7,74.7,5.3,0.8,379.8,378.6,2.3,0.2,0.1
1.38E+09,3760.9,1.8,69.9,5.3,0.8,378.8,378.6,2.3,0.2,0.1
1.38E+09,3765.3,1.9,71.6,5.3,1,377.9,374.6,2.3,0.1,0.1
1.38E+09,3755.7,1.8,82,5.4,0.8,377.8,368.6,2.2,0.1,0.1
1.38E+09,3771,1.8,84.8,5.3,0.8,377.4,360.5,2.3,0.1,0.1
1.38E+09,3743.7,1.8,82.4,5.3,0.8,378.1,357.9,2.3,0.1,0.1
1.38E+09,3755.8,1.8,81.5,5.3,0.9,378.5,351.1,2.3,0.1,0.1
1.38E+09,3744.5,1.9,76.3,5.2,0.8,378.6,355.3,2.3,0.1,0.1
1.38E+09,3743.2,1.8,75.7,5.3,0.8,377.8,358.7,2.3,0.2,0.1
1.38E+09,3746.4,2,76,5.3,0.9,378.1,355.7,2.3,0.1,0.1
1.38E+09,3738.3,1.8,75.9,5.3,0.8,378.7,354.1,2.4,0.1,0.1
1.38E+09,3738,1.9,77.2,5.4,0.8,378.1,355.9,2.4,0.2,0.1
1.38E+09,3744.7,1.8,77.4,5.2,0.8,377.5,357.5,2.3,0.1,0.1
1.38E+09,3741.5,1.9,77,5.4,0.8,377.7,352.8,2.4,0.1,0.1
1.38E+09,3742.9,2,76.6,5.4,0.9,378.1,355.4,2.4,0.1,0.1
1.38E+09,3739.7,1.9,75.9,5.2,0.8,378.4,354.3,2.4,0.1,0.1
1.38E+09,3761.3,1.9,76.4,5.3,0.9,379,354.4,2.3,0.1,0.1
1.38E+09,3770.3,1.9,76.6,5.2,0.8,378.4,360.6,2.3,0.1,0.1
1.38E+09,3772.7,1.9,76.6,5.4,0.8,378.6,358.2,2.2,0.1,0.1
1.38E+09,3764.6,1.9,75.9,5.4,0.8,378.6,355.8,2.3,0.1,0.1
1.38E+09,3777.6,1.9,75.4,5.4,0.8,379.7,360.2,2.3,0.1,0.1
1.38E+09,3765.7,1.9,74.9,5.3,0.8,378.7,360.4,2.4,0.1,0.1
1.38E+09,3735.8,1.9,55.1,5.3,0.7,379.7,355.8,2.4,0.1,0.1
1.38E+09,3741,2,53.7,5.3,0.8,378.6,356.1,2.3,0.1,0.1
1.38E+09,3751.8,1.8,57.5,5.3,0.8,378.1,359.2,2.3,0.1,0.1
1.38E+09,3758.7,1.9,60.4,5.3,0.7,378.3,358.6,2.3,0.1,0.1
1.38E+09,3746.7,1.9,62.1,5.3,0.7,378.3,357.9,2.3,0.2,0.1
1.38E+09,3750.4,1.9,62.8,5.3,0.8,378.8,357.7,2.3,0.2,0.1
1.38E+09,3755.1,1.9,62.5,5.4,0.8,378.1,359.4,2.2,0.1,0.1
1.38E+09,3749.8,1.9,62.1,5.3,0.9,378.6,355.4,2.3,0.1,0.1
1.38E+09,5740,0.9,61.3,5.5,0.3,376.3,356.5,2.6,0.2,0.1
1.38E+09,11765,2.4,59.2,6.9,3.8,374.5,355.2,3.4,0.2,0.1
1.38E+09,3756.6,1.8,62.3,5.3,0.9,378.7,356,2.3,0.1,0.1
1.38E+09,3750.1,1.9,62.4,5.3,0.9,378.9,350.9,2.3,0.2,0.1
1.38E+09,3764.5,2,62.8,5.3,0.7,378.7,353.6,2.4,0.1,0.1
1.38E+09,3747,1.9,62,5.3,0.9,378.5,356.5,2.3,0.1,0.1
1.38E+09,3761.5,1.9,61.9,5.3,0.9,377.9,360.3,2.4,0.1,0.1
1.38E+09,3756.9,1.9,62.6,5.3,0.8,377.9,353.8,2.4,0.1,0.1
1.38E+09,3754.9,2,62.3,5.3,0.8,378.2,354.7,2.3,0.1,0.1
1.38E+09,3754.8,2,61.9,5.3,0.8,378.5,357.1,2.3,0.1,0.1
1.38E+09,3754.6,1.9,62.2,5.3,0.7,378.6,356.4,2.3,0.2,0.1
1.38E+09,3760.9,2,77.8,5.4,0.8,378.8,352.6,2.3,0.1,0.1
1.38E+09,3872.7,1.7,183.4,5.4,0.9,378.9,355.3,2.4,0.2,0.1
1.38E+09,3939.3,1.7,272.2,5.5,1,379.2,357.7,2.4,0.1,0.1
1.38E+09,4028.8,1.6,362.4,5.4,0.9,379.5,356.6,2.4,0.1,0.1
1.38E+09,4043.2,1.7,377.6,5.5,1,379.3,356.3,2.4,0.1,0.1
1.38E+09,4011,1.7,340.1,5.4,0.9,378.7,355.4,2.5,0.1,0.1
1.38E+09,3983.9,1.7,305.5,5.4,0.9,378.4,357.4,2.4,0.1,0.1
1.38E+09,3934.9,1.8,263.7,5.3,1,378.6,354.8,2.3,0.1,0.1
1.38E+09,3901.4,1.7,229.5,5.4,0.9,378.8,354.4,2.4,0.1,0.1
1.38E+09,3860.2,1.8,201.6,5.4,0.8,377.5,356.5,2.3,0.1,0.1
1.38E+09,3847.7,1.8,185.2,5.3,0.9,378.4,357.8,2.4,0.1,0.1
1.38E+09,3837.5,1.8,162.9,5.4,0.8,378.5,359.2,2.4,0.1,0.1
1.38E+09,3818.5,1.8,152.5,5.4,0.8,378.3,359.1,2.4,0.1,0.1
1.38E+09,3823.2,1.8,146.9,5.3,0.8,379.3,358.8,2.3,0.2,0.1
1.38E+09,3814.6,1.8,140.5,5.4,0.9,378.5,356.3,2.4,0.1,0.1
1.38E+09,3821.4,1.8,135.7,5.3,0.8,379.6,357.8,2.4,0.1,0.1
1.38E+09,3814.9,1.8,130.1,5.3,0.8,378.5,361.7,2.4,0.1,0.1
1.38E+09,3796.7,1.8,123.5,5.3,0.9,378.5,357.9,2.3,0.1,0.1
1.38E+09,3790.3,1.9,124.3,5.3,1,377.6,357.8,2.3,0.1,0.1
1.38E+09,3780.2,1.9,117.4,5.4,0.8,378.1,358.6,2.3,0.1,0.1
1.38E+09,3772.9,1.9,115.6,5.3,0.9,377.3,354.5,2.5,0.1,0.1
1.38E+09,3781,1.9,107.6,5.4,0.9,377.9,357.2,2.4,0.1,0.1
1.38E+09,3781.1,1.9,106.2,5.3,0.8,378.4,359.4,2.4,0.1,0.1
1.38E+09,3771.4,1.9,100.6,5.4,0.7,377.9,354.9,2.3,0.1,0.1
1.38E+09,3777.1,1.8,96.9,5.3,0.9,378.4,355.8,2.4,0.1,0.1
1.38E+09,3756.4,1.8,69.1,5.3,0.9,378.6,357.8,2.3,0.1,0.1
1.38E+09,3731.8,1.9,47.3,5.3,0.8,379.6,355.6,2.2,0.1,0.1
1.38E+09,3719.2,1.9,47.2,5.3,0.8,379.3,354.3,2.3,0.2,0.1
1.38E+09,3720.1,1.9,47.1,5.3,0.8,379.3,360.1,2.3,0.1,0.1
1.38E+09,3710.7,1.9,47,5.4,0.8,378.9,354.6,2.3,0.1,0.1
1.38E+09,3712.4,1.9,43.3,5.2,0.9,379,356,2.3,0.1,0.1
1.38E+09,3690.9,1.8,20.9,5.3,0.8,378.7,358,2.5,0.2,0.1
1.38E+09,3688.9,1.9,24.4,5.4,0.8,379,352.7,2.3,0.1,0.1
1.38E+09,3719.4,1.8,53.8,5.3,0.9,378.7,353.7,2.4,0.1,0.1
1.38E+09,3728.9,1.8,66.4,5.4,0.9,379.1,354.6,2.4,0.1,0.1
1.38E+09,3730.8,1.8,64.3,5.5,0.9,378.4,356.2,2.3,0.1,0.1
1.38E+09,3724,1.9,64.1,5.4,0.8,378.2,353.5,2.3,0.1,0.1
1.38E+09,3732.8,1.9,64.5,5.2,0.8,378.4,356.2,2.4,0.2,0.1
1.38E+09,3729.9,1.7,64.3,5.4,0.9,378.9,356.4,2.2,0.1,0.1
1.38E+09,3729.9,1.9,64.9,5.3,0.8,377.7,352.9,2.3,0.1,0.1
1.38E+09,3743.6,1.9,64.4,5.4,0.8,378.1,355.1,2.3,0.1,0.1
1.38E+09,3730.8,2,64.3,5.4,0.9,378.1,358.1,2.3,0.1,0.1
1.38E+09,3728.5,1.8,64.8,5.3,0.8,378.9,353.7,2.3,0.1,0.1
1.38E+09,3730.1,1.9,65.1,5.3,0.8,378.1,355.9,2.4,0.1,0.1
